playerid41,playerid42,playerid46,playerid45,playerid35,playerid18,playerid33,playerid9,captainid,playerid37,playerid31,playerid13,playerid30,playerid47,playerid43,playerid34,freekicktakerid,playerid0,playerid17,playerid39,playerid3,playerid7,playerid16,playerid4,playerid6,playerid38,playerid15,playerid2,rightfreekicktakerid,playerid12,playerid48,playerid36,playerid8,playerid32,leftfreekicktakerid,longkicktakerid,playerid11,customsub1in,customsub2out,playerid28,customsub0in,playerid19,playerid26,customsub2in,playerid44,playerid51,rightcornerkicktakerid,playerid40,playerid22,playerid23,penaltytakerid,playerid20,playerid24,playerid27,teamid,playerid50,playerid29,customsub0out,playerid10,customsub1out,playerid49,playerid5,playerid25,leftcornerkicktakerid,playerid14,playerid21,playerid1
-1,-1,-1,-1,-1,235790,-1,235794,246669,-1,-1,222665,-1,-1,-1,-1,234378,220901,206585,-1,232580,246669,231936,257711,234378,-1,256197,243715,234378,254796,-1,-1,207421,-1,234378,234378,251566,-1,-1,-1,-1,230666,-1,-1,-1,-1,246669,-1,278016,-1,241651,264846,-1,-1,1,-1,-1,-1,241651,-1,-1,248148,-1,234378,210697,225193,251805
-1,-1,-1,-1,-1,229906,-1,260247,210881,-1,-1,199189,-1,-1,-1,-1,200458,202811,200110,-1,241464,210881,221660,248465,216393,-1,231652,227678,216393,236499,-1,-1,226162,-1,226162,216393,233049,-1,-1,-1,-1,231352,268259,-1,-1,-1,216393,-1,82350,80816,221697,212419,275468,278237,2,-1,-1,-1,221697,-1,-1,257057,236987,227174,264209,246174,227174
-1,-1,-1,-1,71447,263678,82835,225748,225748,-1,75639,218343,78123,-1,-1,82914,225748,74726,240595,-1,241534,270140,235770,263914,255855,-1,231540,278920,225748,212099,-1,-1,73427,71956,225748,225748,270787,-1,-1,266095,-1,247913,73196,-1,-1,-1,225748,-1,70114,242946,225748,193910,242751,244626,3,-1,256358,-1,245766,-1,-1,237211,198719,225748,243371,263654,260142
-1,-1,-1,-1,-1,265777,-1,260951,239540,-1,-1,244565,-1,-1,-1,-1,212366,202125,246166,-1,244240,271743,265700,240912,275348,-1,200778,239540,212366,259507,-1,-1,277986,-1,212366,212366,238368,-1,-1,-1,-1,230864,74910,-1,-1,-1,212366,-1,221705,252878,236528,268927,266842,84689,4,-1,-1,-1,236528,-1,-1,212366,270118,212366,271668,241523,233442
-1,-1,-1,-1,-1,278813,-1,247090,238074,-1,-1,268438,-1,-1,-1,-1,238074,228789,258485,-1,272978,257534,222104,239231,256079,-1,230918,248695,238074,263620,-1,-1,238616,-1,238074,238074,202556,-1,-1,76687,-1,259031,248158,-1,-1,-1,238616,-1,242578,275507,257534,262859,85333,257126,5,-1,266032,-1,252042,-1,-1,238074,77540,238074,261530,71651,259307
-1,-1,-1,-1,-1,279497,-1,237386,202695,-1,-1,259714,-1,-1,-1,-1,243657,232284,225650,-1,247649,243282,257896,244380,243657,-1,207599,202695,237386,256402,-1,-1,261188,-1,243657,237386,266609,-1,-1,-1,-1,71998,-1,-1,-1,-1,237386,-1,206517,85362,261188,70448,256500,-1,7,-1,-1,-1,276295,-1,-1,193474,186146,243657,74413,180216,253510
-1,-1,-1,-1,-1,277194,-1,242530,237161,-1,-1,264432,-1,-1,-1,-1,257191,193331,247249,-1,244238,257191,269495,239360,235735,-1,208892,229266,257191,242663,-1,-1,237161,-1,257191,257191,230670,-1,-1,-1,-1,244591,-1,-1,-1,-1,257191,-1,74145,203215,221479,248384,-1,-1,8,-1,-1,-1,221479,-1,-1,236822,-1,257191,230084,236764,231554
-1,-1,-1,-1,-1,232487,-1,256630,225100,-1,-1,236772,-1,-1,-1,-1,236772,212831,235805,-1,237678,209331,242434,260908,239837,-1,70824,225100,239837,264298,-1,-1,242516,-1,239837,239837,262621,-1,-1,-1,-1,279128,222514,-1,-1,-1,256630,-1,271975,252897,209331,278292,247601,79922,9,-1,-1,-1,233731,-1,-1,246104,80376,209331,257289,271977,253149
-1,-1,-1,-1,-1,256675,-1,237692,231866,-1,-1,218667,-1,-1,-1,-1,251570,230621,268737,-1,277031,227796,270409,242641,207410,-1,239818,208920,237692,229558,-1,-1,225645,-1,237692,239085,263063,-1,-1,203574,-1,241159,76250,-1,-1,-1,225645,-1,251570,246420,239085,460001,241236,204246,10,-1,-1,-1,239085,-1,-1,231866,240638,237692,460010,255069,253124
-1,-1,-1,-1,-1,260592,-1,212198,212198,-1,-1,277432,-1,-1,-1,-1,212198,254803,243647,-1,235243,254088,269087,238041,269136,-1,236401,203263,212198,253306,-1,-1,240243,-1,212198,212198,233064,-1,-1,75519,-1,250961,74142,-1,-1,-1,243014,-1,269233,82853,212198,278124,82899,77354,11,-1,274102,-1,243014,-1,-1,200145,163264,212198,239301,75439,234574
-1,-1,-1,-1,-1,254752,-1,253054,186156,-1,-1,263522,84184,-1,-1,-1,218659,242853,188094,-1,262597,252796,236315,218659,216464,-1,229682,186156,218659,259268,-1,-1,233487,-1,252796,218659,264692,-1,-1,74323,-1,228888,70035,-1,-1,-1,218659,-1,211009,239358,261283,220944,279546,279251,12,-1,82410,-1,261283,-1,-1,255145,72027,253054,260402,262255,232185
-1,-1,-1,-1,-1,274246,-1,234824,223334,-1,72281,257470,85367,-1,-1,-1,241096,233934,270519,-1,256261,223334,242964,251517,247851,-1,266127,210047,234742,198032,-1,-1,206085,-1,234742,234742,203841,-1,-1,207650,-1,270086,246923,-1,-1,-1,206085,-1,77791,198710,234824,270617,198039,237329,13,-1,163600,-1,234742,-1,-1,241096,186345,206085,254022,71330,262118
-1,-1,-1,-1,-1,234051,-1,236015,235642,-1,-1,240740,-1,-1,-1,-1,254243,199641,268474,-1,238095,260145,237819,243702,235642,-1,79629,232488,236015,74310,-1,-1,257980,-1,236015,236015,200159,-1,-1,71634,-1,202750,230978,-1,-1,-1,254243,-1,256008,250789,192123,264349,235173,216325,14,-1,-1,-1,192123,-1,-1,254243,234724,260145,79402,256781,224656
-1,-1,-1,-1,-1,276561,-1,279857,235156,-1,-1,255594,-1,-1,-1,-1,265412,250804,170008,-1,258167,262072,193011,240773,75093,-1,246682,235156,265412,243223,-1,-1,241075,-1,265412,265412,238490,-1,-1,272965,-1,251028,257105,-1,-1,-1,265412,-1,80422,230774,279857,279543,206218,276931,15,-1,-1,-1,277658,-1,-1,265412,252330,265412,206115,77070,264437
-1,-1,-1,-1,-1,272497,-1,252066,252793,-1,239368,276695,72618,-1,-1,-1,269964,277823,189324,-1,245153,266312,258930,265993,266422,-1,238157,252793,269964,264371,-1,-1,269964,-1,269964,269964,244319,-1,-1,80569,-1,78184,81987,-1,-1,-1,269964,-1,263953,199576,226777,265195,202199,82197,17,-1,80568,-1,226777,-1,-1,240097,182365,269964,202697,279579,222156
-1,-1,-1,-1,-1,247394,-1,245367,229391,-1,-1,238216,-1,-1,-1,-1,243576,240091,268421,-1,237985,245155,259868,259583,229391,-1,260105,264453,243576,72093,-1,-1,233927,-1,243576,243576,73580,-1,-1,81899,-1,205923,227535,-1,-1,-1,245367,-1,270579,270208,225539,220697,237679,82187,18,-1,75770,-1,225539,-1,-1,236480,236568,245155,231943,83381,243576
-1,-1,-1,-1,-1,213956,-1,237712,224371,-1,-1,229880,-1,-1,-1,-1,270857,246158,193105,-1,229942,270857,278399,274915,236792,-1,245336,242000,270857,275102,-1,-1,251954,-1,270857,270857,264579,-1,-1,-1,-1,196978,-1,-1,-1,-1,224371,-1,268564,70230,224371,75842,164835,-1,19,-1,-1,-1,264290,-1,-1,224371,232756,251954,245388,278284,227927
-1,-1,-1,-1,-1,206113,-1,256790,167495,-1,71305,234396,84570,-1,-1,-1,247827,167495,263887,-1,213331,247827,78063,250955,275298,-1,259197,237086,202126,263765,-1,-1,241084,-1,247827,212622,209658,-1,-1,70068,-1,77126,81240,-1,-1,-1,247827,-1,84386,79318,202126,186569,82813,76337,21,-1,85225,-1,202126,-1,-1,212622,82811,212622,207865,79317,225375
-1,-1,-1,-1,-1,83751,-1,254117,247819,-1,-1,259356,-1,-1,-1,-1,259716,235073,241050,-1,224196,259716,259075,251852,246863,-1,208333,247819,204923,83748,-1,-1,212194,-1,259716,259716,252037,-1,-1,260952,-1,73016,266906,-1,-1,-1,212194,-1,78577,270964,215441,210772,76107,80873,22,-1,-1,-1,215441,-1,-1,204923,71928,251852,235407,278854,229476
-1,-1,-1,-1,-1,239367,-1,204497,257919,-1,-1,245541,-1,-1,-1,-1,220876,235018,257273,-1,224841,264194,264702,237936,262906,-1,222493,221491,220876,234943,-1,-1,220876,-1,220876,220876,245622,-1,-1,240947,-1,214096,177475,-1,-1,-1,220876,-1,70904,76031,212002,71101,80454,278362,23,-1,-1,-1,212002,-1,-1,257919,81726,220876,272931,82741,243354
-1,-1,-1,-1,-1,199897,-1,234875,209846,-1,-1,208335,-1,-1,-1,-1,212096,262659,234833,-1,231366,240451,279045,209846,276694,-1,207897,263022,212096,74431,-1,-1,212096,-1,212096,212096,269705,-1,-1,261659,-1,216497,72107,-1,-1,-1,212096,-1,229692,82862,212096,250931,84104,278033,25,-1,261478,-1,259750,-1,-1,226168,244112,212096,262668,255185,262666
-1,-1,-1,-1,-1,266109,-1,251090,223680,-1,-1,269318,-1,-1,-1,-1,270111,206145,269916,-1,245750,270111,262635,272891,243893,-1,262840,245252,270111,211982,-1,-1,251107,-1,270111,270111,211891,-1,-1,-1,-1,251482,276330,-1,-1,-1,270111,-1,273885,270110,251107,276319,75952,-1,27,-1,-1,-1,244109,-1,-1,223680,211827,270111,262297,79401,269513
-1,-1,-1,-1,-1,74102,-1,236533,232839,-1,-1,256949,260463,-1,-1,-1,232839,212197,257568,-1,256854,232839,236947,274722,276119,-1,269962,275192,232839,251961,-1,-1,256958,-1,232839,232839,224970,-1,-1,82511,-1,279213,77589,-1,-1,-1,232839,-1,279101,73554,232839,207791,274944,271214,28,-1,213134,-1,255036,-1,-1,241928,246666,232839,266395,72319,246885
-1,-1,-1,-1,-1,79305,-1,223755,223755,-1,85537,229171,269942,-1,-1,-1,223755,244417,272787,-1,234827,73137,267844,263417,269307,-1,263089,250993,223755,264621,-1,-1,263343,85534,223755,73135,248434,-1,-1,210304,-1,82698,243735,-1,-1,-1,73135,-1,242850,229925,223755,271395,82700,263073,29,-1,73134,-1,237321,-1,-1,251429,79737,73135,73136,262800,73135
-1,-1,-1,-1,71277,235360,247138,244390,254660,-1,82767,251392,218534,-1,-1,246748,252495,186148,271034,-1,258396,254660,259442,261313,256942,-1,242997,75577,252495,233965,-1,-1,252495,248878,252495,252495,83078,-1,-1,239510,-1,258412,71177,-1,-1,-1,252495,-1,195038,234727,252495,206198,269922,74043,31,-1,83937,-1,71178,-1,-1,246814,82814,252495,220085,82816,254638
-1,-1,-1,-1,-1,262151,-1,237328,212242,-1,-1,264219,85345,-1,-1,-1,210035,211738,204092,-1,247263,272781,236786,208618,231521,-1,255106,212242,228813,210324,-1,-1,275029,-1,228813,212242,256853,-1,-1,82393,-1,81844,210366,-1,-1,-1,228813,-1,275028,76335,231521,75736,223550,82392,32,-1,84354,-1,76416,-1,-1,228813,82394,228813,236461,80665,273651
-1,-1,-1,-1,-1,236675,73089,211899,238793,-1,82832,238953,78543,-1,-1,-1,200610,210006,211953,-1,251456,244413,76594,269866,238793,-1,257332,224421,200610,226686,-1,-1,200610,79241,200610,238793,257144,-1,-1,83253,-1,76291,238647,-1,-1,-1,238793,-1,241277,275414,238793,85508,238779,270014,33,-1,80222,-1,233707,-1,-1,76596,276191,238793,243932,83254,270116
-1,-1,-1,-1,82154,81991,82190,212240,212240,201122,77344,239073,82191,-1,-1,73098,212240,203775,202873,-1,225487,240916,274395,271563,262936,-1,273904,78537,212240,229472,-1,80780,253102,72962,212240,212240,180930,-1,-1,262212,-1,73235,76295,-1,-1,-1,262936,-1,269566,237509,212240,244204,72965,72967,34,-1,232203,-1,237708,-1,-1,239099,276979,262936,224094,72964,254245
-1,-1,-1,-1,-1,75056,-1,244176,239096,-1,79288,270465,72553,-1,-1,-1,250959,223885,223603,-1,239340,252448,251829,271119,250959,-1,260574,238476,250959,257073,-1,-1,241925,82681,250959,250959,257504,-1,-1,273667,-1,277742,79286,-1,-1,-1,250959,-1,263573,229584,244176,79300,275436,76087,36,-1,81634,-1,238900,-1,-1,239096,258864,250959,238379,266685,242602
-1,-1,-1,-1,-1,265749,-1,276304,239701,-1,-1,237595,-1,-1,-1,-1,239701,248732,211946,-1,77636,256688,261182,247771,240699,-1,256776,246836,239701,203106,-1,-1,266183,-1,239701,239701,74566,-1,-1,238896,-1,256548,74903,-1,-1,-1,239701,-1,79455,79461,239701,76111,75461,76944,38,-1,-1,-1,239701,-1,-1,231838,247679,239701,212977,77127,242916
-1,-1,-1,-1,-1,208574,-1,277954,222077,-1,-1,240679,-1,-1,-1,-1,277954,235840,198009,-1,231512,258966,246656,238744,247246,-1,266872,239580,277954,224422,-1,-1,261050,-1,277954,222077,246430,-1,-1,227647,-1,243580,265188,-1,-1,-1,261050,-1,239763,75085,277954,189342,71000,247181,45,-1,-1,-1,243630,-1,-1,222077,205175,277954,268802,71001,255654
-1,-1,-1,-1,-1,239679,-1,79270,216409,-1,-1,245992,-1,-1,-1,-1,192985,224836,225116,-1,243241,202884,200752,216409,237238,-1,205452,244263,216409,241390,-1,-1,192985,-1,192985,192985,227236,-1,-1,-1,-1,261865,-1,-1,-1,-1,216409,-1,276706,236632,192985,220532,188335,-1,48,-1,-1,-1,259399,-1,-1,216435,-1,192985,192505,81526,262394
-1,-1,-1,-1,-1,269276,-1,263229,252442,-1,-1,236706,-1,-1,-1,-1,258714,255981,271385,-1,278436,273884,75647,246164,253162,-1,275401,259150,253162,257972,-1,-1,261539,-1,258714,258714,255460,-1,-1,72745,-1,81468,74453,-1,-1,-1,258714,-1,272687,76121,263229,278280,81972,277843,50,-1,-1,-1,235949,-1,-1,258714,275130,253162,232008,270485,252442
-1,-1,-1,-1,-1,276680,-1,211110,208268,-1,-1,190813,-1,-1,-1,-1,211110,230872,227127,-1,229668,80170,258826,224490,250723,-1,220651,236403,211110,228251,-1,-1,265695,-1,211110,211110,242458,-1,-1,233260,-1,275291,259608,-1,-1,-1,211110,-1,232223,76172,231447,80045,271916,76410,52,-1,-1,-1,231447,-1,-1,208268,79095,211110,262745,277695,229582
-1,-1,-1,-1,-1,201389,-1,215333,215333,-1,226627,213242,275201,-1,-1,-1,211147,235740,270141,-1,258782,241095,243481,241007,266257,-1,219145,265650,211147,273883,-1,-1,273932,-1,211147,211147,226093,-1,-1,70480,-1,258683,75443,-1,-1,-1,211147,-1,272725,248474,241095,81974,76027,236413,54,-1,275434,-1,216816,-1,-1,258507,255150,211147,248564,278319,211147
-1,-1,-1,-1,-1,258615,-1,238067,214658,-1,-1,275522,-1,-1,-1,-1,243249,257288,266803,-1,190324,272783,259634,242238,214658,-1,271475,261573,238067,229973,-1,-1,243249,-1,243249,238067,224438,-1,-1,-1,-1,246832,-1,-1,-1,-1,238067,-1,80380,77558,231743,80203,275647,-1,55,-1,-1,-1,231743,-1,-1,220421,76411,272783,268656,162297,225669
-1,-1,-1,-1,-1,242577,-1,239631,238392,-1,-1,277503,-1,-1,-1,-1,272894,205377,263402,-1,263028,259205,260100,247124,251170,-1,263112,257204,272894,230144,-1,-1,272894,-1,272894,272894,269745,-1,-1,80648,-1,260943,82670,-1,-1,-1,272894,-1,80650,277644,251170,263421,82080,80647,57,-1,276933,-1,257612,-1,-1,238392,80651,272894,228681,78215,268440
