position5,offset6y,position1,pos4role,pos5role,offset8x,offset0y,position10,attackers,offset4y,formationname,pos6role,offset8y,offset1y,offset3y,offensiverating,offset5y,position8,offset4x,pos7role,offset0x,defenders,offset6x,position0,position4,position3,offset10y,pos2role,relativeformationid,offset7y,position7,offset7x,pos1role,offset10x,formationaudioid,pos3role,position6,offset9y,teamid,pos9role,offset2y,formationfullnameid,position2,formationid,offset2x,pos10role,position9,offset9x,offset5x,pos8role,offset3x,offset1x,midfielders,pos0role
10,0.560000,3,8386,17089,0.100000,0.020000,26,2.000000,0.220000,4-1-3-2,25602,0.560000,0.220000,0.150000,2,0.330000,16,0.100000,21314,0.500000,4.500000,0.900000,0,7,6,0.850000,12737,1,0.520000,14,0.500000,8386,0.400000,12,12737,12,0.850000,-1,38405,0.150000,30,4,1,0.650000,38405,24,0.600000,0.500000,25602,0.350000,0.900000,3.500000,4161
10,0.600000,3,8386,17089,0.350000,0.020000,25,1.000000,0.220000,4-1-4-1,25602,0.500000,0.220000,0.150000,2,0.330000,15,0.100000,21314,0.500000,4.500000,0.900000,0,7,6,0.850000,12737,2,0.500000,13,0.650000,8386,0.500000,15,12737,12,0.600000,-1,25602,0.150000,31,4,2,0.650000,38405,16,0.100000,0.500000,21314,0.350000,0.900000,4.500000,4161
9,0.350000,3,8386,17089,0.500000,0.020000,25,1.000000,0.220000,4-2-3-1,17089,0.670000,0.220000,0.150000,2,0.350000,18,0.100000,29570,0.500000,5.000000,0.350000,0,7,6,0.870000,12737,3,0.670000,17,0.850000,8386,0.500000,14,12737,11,0.670000,-1,29570,0.150000,16,4,3,0.650000,38405,19,0.150000,0.650000,29570,0.350000,0.900000,4.000000,4161
9,0.350000,3,8386,17089,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17089,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25602,0.500000,5.000000,0.350000,0,7,6,0.870000,12737,4,0.600000,12,0.900000,8386,0.500000,14,12737,11,0.670000,-1,29570,0.150000,3,4,4,0.650000,38405,18,0.500000,0.650000,25602,0.350000,0.900000,4.000000,4161
13,0.500000,3,8386,21314,0.600000,0.020000,27,4.000000,0.220000,4-2-4,21314,0.850000,0.220000,0.150000,4,0.500000,24,0.100000,33794,0.500000,4.000000,0.350000,0,7,6,0.800000,12737,5,0.800000,23,0.900000,8386,0.100000,2,12737,15,0.850000,-1,38405,0.150000,33,4,5,0.650000,33794,26,0.400000,0.650000,38405,0.350000,0.900000,2.000000,4161
13,0.480000,3,8386,21314,0.500000,0.020000,26,2.500000,0.220000,4-3-1-2,21314,0.700000,0.220000,0.150000,2,0.500000,18,0.100000,21314,0.500000,4.000000,0.500000,0,7,6,0.850000,12737,6,0.500000,15,0.350000,8386,0.400000,9,12737,14,0.850000,-1,38405,0.150000,34,4,6,0.650000,38405,24,0.600000,0.650000,29570,0.350000,0.900000,3.500000,4161
13,0.480000,3,8386,21314,0.750000,0.020000,25,2.500000,0.220000,4-3-2-1,21314,0.700000,0.220000,0.150000,2,0.500000,17,0.100000,21314,0.500000,4.000000,0.500000,0,7,6,0.850000,12737,7,0.500000,15,0.350000,8386,0.500000,8,12737,14,0.700000,-1,29570,0.150000,20,4,7,0.650000,38405,19,0.250000,0.650000,29570,0.350000,0.900000,3.500000,4161
13,0.480000,3,8386,21314,0.900000,0.020000,27,3.000000,0.220000,4-3-3,21314,0.800000,0.220000,0.150000,3,0.500000,23,0.100000,21314,0.500000,4.000000,0.500000,0,7,6,0.800000,12737,8,0.500000,15,0.350000,8386,0.100000,6,12737,14,0.850000,-1,38405,0.150000,17,4,8,0.650000,33794,25,0.500000,0.650000,33794,0.350000,0.900000,3.000000,4161
10,0.500000,3,8386,17089,0.900000,0.020000,27,3.000000,0.220000,4-3-3,21314,0.800000,0.220000,0.150000,3,0.330000,23,0.100000,21314,0.500000,4.000000,0.650000,0,7,6,0.800000,12737,9,0.500000,15,0.350000,8386,0.100000,6,12737,13,0.850000,-1,38405,0.150000,7,4,9,0.650000,33794,25,0.500000,0.500000,33794,0.350000,0.900000,3.000000,4161
9,0.350000,3,8386,17089,0.900000,0.020000,27,3.000000,0.220000,4-3-3,17089,0.800000,0.220000,0.150000,3,0.350000,23,0.100000,21314,0.500000,4.000000,0.350000,0,7,6,0.800000,12737,10,0.500000,14,0.500000,8386,0.100000,6,12737,11,0.850000,-1,38405,0.150000,5,4,10,0.650000,33794,25,0.500000,0.650000,33794,0.350000,0.900000,3.000000,4161
