objective,highestpossible,yettowin,homedraws,highestprobable,artificialkey,hasachievedobjective,unbeatenhome,previousyeartableposition,actualvsexpectations,teamlongform,prevleagueid,awaylosses,nummatchesplayed,awaygf,unbeatenleague,lastgameresult,homega,points,leagueid,unbeatenallcomps,currenttableposition,homegf,teamshortform,teamid,homelosses,homewins,grouping,awaywins,awayga,unbeatenaway,awaydraws,champion,teamform
0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,1,0,4,0,0,269,0,0,10,0,0,0,0,0,0
0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,2,0,0,1,0,11,0,0,270,0,0,4,0,0,0,0,0,0
0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,271,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,8,0,0,1,0,0,0,0,2,0,0,1,0,8,0,0,272,0,0,5,0,0,0,0,0,0
0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,7,0,0,819,0,0,10,0,0,0,0,1,0
0,0,0,0,0,5,0,0,11,0,0,1,0,0,0,0,2,0,0,1,0,12,0,0,822,0,0,4,0,0,0,0,0,0
0,0,0,0,0,6,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,1443,0,0,3,0,0,0,0,0,0
0,0,0,0,0,7,0,0,12,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1447,0,0,3,0,0,0,0,0,0
0,0,0,0,0,8,0,0,7,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1516,0,0,10,0,0,0,0,0,0
0,0,0,0,0,9,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,9,0,0,1786,0,0,8,0,0,0,0,0,0
0,0,0,0,0,10,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,6,0,0,1788,0,0,8,0,0,0,0,0,0
0,0,0,0,0,11,0,0,13,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,15006,0,0,5,0,0,0,0,0,0
0,0,0,0,0,12,0,0,11,0,0,4,0,0,0,0,2,0,0,4,0,6,0,0,229,0,0,10,0,0,0,0,0,0
0,0,0,0,0,13,0,0,3,0,0,4,0,0,0,0,2,0,0,4,0,10,0,0,230,0,0,8,0,0,0,0,1,0
0,0,0,0,0,14,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,231,0,0,10,0,0,0,0,0,0
0,0,0,0,0,15,0,0,6,0,0,4,0,0,0,0,1,0,0,4,0,8,0,0,232,0,0,8,0,0,0,0,0,0
0,0,0,0,0,16,0,0,14,0,0,4,0,0,0,0,2,0,0,4,0,16,0,0,537,0,0,4,0,0,0,0,0,0
0,0,0,0,0,17,0,0,9,0,0,4,0,0,0,0,2,0,0,4,0,11,0,0,670,0,0,3,0,0,0,0,0,0
0,0,0,0,0,18,0,0,1,0,0,4,0,0,0,0,1,0,0,4,0,7,0,0,673,0,0,3,0,0,0,0,0,0
0,0,0,0,0,19,0,0,5,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,674,0,0,10,0,0,0,0,0,0
0,0,0,0,0,20,0,0,12,0,0,4,0,0,0,0,2,0,0,4,0,3,0,0,680,0,0,10,0,0,0,0,0,0
0,0,0,0,0,21,0,0,7,0,0,4,0,0,0,0,1,0,0,4,0,9,0,0,681,0,0,3,0,0,0,0,0,0
0,0,0,0,0,22,0,0,8,0,0,4,0,0,0,0,0,0,0,4,0,14,0,0,1750,0,0,4,0,0,0,0,0,0
0,0,0,0,0,23,0,0,2,0,0,4,0,0,0,0,0,0,0,4,0,1,0,0,2014,0,0,0,0,0,0,0,0,0
0,0,0,0,0,24,0,0,15,0,0,4,0,0,0,0,0,0,0,4,0,13,0,0,15005,0,0,3,0,0,0,0,0,0
0,0,0,0,0,25,0,0,10,0,0,4,0,0,0,0,0,0,0,4,0,12,0,0,100087,0,0,5,0,0,0,0,0,0
0,0,0,0,0,26,0,0,13,0,0,4,0,0,0,0,2,0,0,4,0,5,0,0,110724,0,0,10,0,0,0,0,0,0
0,0,0,0,0,27,0,0,16,0,0,4,0,0,0,0,1,0,0,4,0,15,0,0,132231,0,0,5,0,0,0,0,0,0
