playerid_key,player_name,current_teamid,current_teamname,penalties,skillmoves,accessorycolourcode2,tattoohead,shoecolorcode1,tattooleftleg,hairtypecode,longshots,standingtackle,skintypecode,volleys,role2,gender,role1,gkhandling,headassetid,finishingcode1,gkglovetypecode,preferredposition6,commonnameid,tattooback,role3,tattooleftarm,eyebrowcode,headclasscode,tattoorightleg,undershortstyle,lipcolor,finishingcode2,preferredfoot,muscularitycode,ballcontrol,usercaneditname,shohan,preferredposition2,sprintspeed,hairstylecode,preferredposition3,iscustomized,icontrait1,tattoofront,headtypecode,skillmoveslikelihood,shoedesigncode,slidingtackle,icontrait2,lastnameid,agility,gksavetype,defensiveawareness,acceleration,runstylecode,overallrating,jerseysleevelengthcode,jumping,avatarpomid,preferredposition7,freekickaccuracy,playerjerseynameid,birthdate,internationalrep,stamina,positioning,reactions,curve,tattoorightarm,preferredposition4,runningcode1,vision,eyecolorcode,facepsdlayer0,defspe,weakfootabilitytypecode,headingaccuracy,pacdiv,accessorycolourcode3,accessorycolourcode4,paskic,accessorycode2,gkreflexes,skintonecode,nationality,skinsurfacepack,skinmakeup,emotion,accessorycode1,role4,phypos,personality,hasseasonaljersey,smallsidedshoetypecode,aggression,trait2,modifier,animfreekickstartposcode,composure,trait1,longpassing,accessorycolourcode1,gkkicking,isretiring,jerseyfit,eyedetail,facepsdlayer1,facialhaircolorcode,jerseystylecode,potential,sideburnscode,dribbling,socklengthcode,animpenaltiesstartposcode,shoecolorcode2,strength,accessorycode4,runningcode2,shotpower,facialhairtypecode,balance,headvariation,contractvaliduntil,faceposerpreset,gkkickstyle,preferredposition5,weight,firstnameid,sockstylecode,shoetypecode,haircolorcode,shortpassing,playerjointeamdate,crossing,interceptions,skincomplexion,preferredposition1,shortstyle,finishing,bodytypecode,gkdiving,role5,accessorycode3,gkpositioning,playerid,hashighqualityhead,height,driref
19541,,-1,,29,0,0,0,30,0,693,17,22,0,12,0,0,2,59,19541,0,40,-1,0,0,0,0,10101,1,0,0,0,0,1,0,30,0,59,-1,31,0,-1,0,0,0,46,0,0,23,0,25779,51,0,13,31,0,61,0,56,0,-1,15,25779,146529,1,30,14,57,13,0,-1,0,52,1,0,31,3,14,60,0,0,57,0,62,2,14,242101,0,2,0,0,63,5,3,501,30,774,1,0,56,0,50,0,49,0,0,2,0,23,1,61,0,14,0,0,31,63,0,0,43,40,55,0,2026,0,1,-1,70,13398,1,76,23,31,160797,20,17,1,0,0,15,3,60,0,0,63,19541,0,183,62
20801,,-1,,91,4,0,0,30,0,65,84,32,0,84,43,0,142,11,20801,82,0,-1,7926,0,0,0,30101,0,0,0,0,0,1,1,85,0,88,-1,78,0,-1,0,4,0,1505,3,0,24,0,40655,76,0,24,73,0,85,0,95,0,-1,81,31724,146942,3,77,89,82,79,0,-1,2,76,4,1,34,4,87,76,0,0,76,0,11,5,38,240201,0,5,8,0,76,4,3,502,62,0,1,7,91,8913136,70,4,15,0,0,2,4,0,1,85,0,77,0,4,31,80,0,0,91,0,63,0,2027,0,0,-1,85,5982,1,191,0,76,160786,78,29,3,25,0,88,16,7,0,0,14,20801,1,187,80
52679,,-1,,15,0,0,0,30,0,86,14,17,0,12,0,0,2,57,52679,0,5,-1,0,0,0,0,2150101,1,0,0,0,0,2,0,32,0,57,-1,28,0,-1,0,0,0,2027,0,0,13,0,26105,30,0,22,27,0,57,0,42,0,-1,10,26105,145678,1,18,7,52,17,0,-1,0,57,1,0,27,3,12,56,0,0,56,0,56,2,25,240201,0,4,0,0,58,5,3,501,31,4608,1,0,58,0,52,0,56,1,0,2,0,8,1,57,0,10,0,0,31,46,0,0,42,243,36,0,2026,0,3,-1,88,17746,1,31,19,44,159924,10,15,1,0,0,13,5,56,0,0,58,52679,0,188,56
53110,,-1,,20,0,0,0,30,0,686,12,14,0,14,0,0,1,66,53110,0,145,-1,0,0,0,0,2120101,1,0,0,0,0,2,0,26,0,66,-1,25,0,-1,0,0,0,2508,0,0,12,0,13617,53,0,22,27,0,67,1,56,0,-1,12,13617,146175,1,23,15,65,16,0,-1,0,44,2,0,26,3,14,67,0,0,63,0,68,2,42,242201,0,3,0,0,66,5,1,501,32,4611,1,0,47,0,26,0,63,1,0,2,0,20,1,67,0,10,2,0,31,62,0,0,47,301,49,0,2026,0,2,-1,83,7884,1,99,23,33,159872,12,25,1,0,0,12,4,67,0,0,66,53110,0,193,68
69957,,-1,,45,1,0,0,30,0,77,56,71,0,45,27,0,9,11,69957,0,0,-1,0,0,0,0,2150301,1,0,0,0,0,2,0,71,0,45,16,64,0,-1,0,0,0,1503,1,0,71,0,10661,52,0,73,56,0,69,0,60,0,-1,45,10661,150426,1,55,50,54,65,0,-1,0,38,9,0,71,3,66,60,0,0,64,0,6,4,52,232201,0,3,0,0,58,2,0,501,75,0,2,0,50,524288,71,0,15,0,0,2,0,3,1,69,0,72,0,0,31,52,0,0,45,245,73,0,2027,0,0,-1,70,18160,1,363,8,72,161330,73,69,4,7,0,40,2,8,0,0,7,69957,0,176,68
69960,,-1,,50,1,0,0,30,0,65,64,64,0,49,16,0,14,6,69960,0,0,-1,0,0,20,0,2150000,1,0,0,0,0,1,0,65,0,60,14,60,0,7,0,0,0,509,1,0,63,0,7999,53,0,61,66,0,67,0,73,0,-1,52,7999,152613,1,72,62,60,58,0,-1,0,70,9,0,63,3,61,63,0,0,64,0,6,5,53,224001,0,2,26,8,73,4,3,502,70,0,1,0,49,0,67,3,10,0,1,2,0,21,1,73,0,65,1,0,31,74,0,0,59,0,63,0,2027,0,0,-1,74,15913,1,41,21,70,160950,53,65,6,10,0,62,1,8,0,0,9,69960,0,180,63
69963,,-1,,66,2,0,0,30,0,681,74,40,6,61,42,0,43,15,69963,0,0,-1,0,0,30,0,2210000,1,0,0,0,0,1,0,68,0,71,16,75,0,18,0,0,0,2508,1,0,40,0,1303,74,0,22,74,0,68,0,73,0,-1,49,7,153251,1,60,66,60,59,0,-1,0,64,3,0,37,3,61,74,0,0,60,0,15,5,60,223101,0,3,0,0,60,2,0,501,46,0,0,0,60,0,53,0,5,0,0,2,0,21,1,75,0,73,2,0,31,68,0,0,68,287,66,0,2027,0,0,-1,78,751,1,382,0,60,161913,66,43,4,25,0,76,2,8,0,0,15,69963,0,182,70
69965,,-1,,48,1,0,0,30,0,673,58,59,0,42,0,0,18,14,69965,0,0,-1,0,0,0,0,1450000,1,0,0,0,0,1,0,62,0,57,10,56,0,-1,0,0,0,33,1,0,56,0,24698,81,0,55,54,0,62,0,38,0,-1,38,24698,152790,1,70,63,62,46,0,-1,0,60,3,0,55,3,44,55,0,0,56,0,10,2,36,223101,0,3,0,0,52,4,3,501,56,0,0,0,44,0,63,0,6,0,2,2,0,0,1,67,0,62,0,0,31,43,0,0,58,0,81,0,2027,0,0,-1,69,23622,1,245,3,64,161181,45,60,1,14,0,59,8,8,0,0,7,69965,0,170,64
69967,,-1,,66,2,0,0,30,0,1285,71,12,0,71,0,0,42,12,69967,0,0,-1,44016,0,0,0,10401,0,0,0,0,0,2,0,76,0,72,-1,84,0,-1,0,0,0,46,2,0,10,0,31696,73,0,23,81,0,75,0,86,0,-1,50,16476,152523,1,76,76,73,70,0,-1,0,65,5,0,23,3,74,83,0,0,68,0,12,3,45,223101,0,3,0,0,74,2,3,502,69,0,0,0,66,0,68,0,11,0,0,2,4,0,1,77,0,74,0,0,31,75,0,0,76,58,67,0,2028,0,0,-1,70,16476,1,43,0,72,161161,68,24,4,25,0,73,2,5,0,0,8,69967,0,184,73
69979,,-1,,71,1,0,0,30,0,197,61,18,0,53,0,0,43,10,69979,0,0,-1,0,0,0,0,2320000,1,0,0,0,0,1,0,60,0,69,18,77,0,-1,0,0,0,1019,3,0,21,0,31568,73,0,17,76,0,67,0,78,0,-1,41,44017,152087,1,68,71,51,58,0,-1,0,64,9,0,23,4,69,77,0,0,50,0,8,9,87,220001,0,3,8,0,62,2,0,503,36,0,0,0,51,0,41,11,7,0,1,0,0,21,1,68,0,65,2,0,31,68,0,0,69,0,73,0,2027,0,0,-1,75,36592,1,124,21,54,161889,41,18,8,25,0,75,2,7,0,0,6,69979,0,183,63
