jerseyleftsleevebadge,teamcolortertr,shortsnumbercolorterr,isinheritbasedetailmap,teamkitid,jerseynumbercolorprimr,jerseyshapestyle,jerseynameoutlinecolorg,jerseynumbercolorsecb,shortsnumbercolorsecb,sockstemplateindex,teamcolorprimpercent,jerseybacknamefontcase,teamcolorprimg,jerseycollargeometrytype,jerseynamecolorg,powid,shortsrenderingdetailmaptype,teamkittypetechid,shortsnumbercolorsecg,islocked,dlc,teamcolorsecr,shortstemplateindex,teamcolorprimb,jerseynameoutlinecolorb,jerseyrightsleevebadge,jerseynamefonttype,shortsnumbercolorprimr,captainarmband,jerseynamecolorb,shortsnumberfonttype,teamcolortertb,shortsnumbercolorterb,jerseynumbercolorsecg,jerseynameoutlinewidth,jerseyrenderingdetailmaptype,jerseynumbercolorterg,isgeneric,jerseynumbercolorprimg,jerseynamelayouttype,teamcolorprimr,jerseynumbercolorterr,jerseynumbercolorprimb,jerseynumbercolorsecr,chestbadge,numberfonttype,renderingmaterialtype,teamcolorsecb,jerseynumbercolorterb,hasadvertisingkit,jerseyrestriction,teamcolorsecpercent,jerseyfit,jerseytemplateindex,shortsnumbercolorprimg,teamcolorsecg,isembargoed,armbandtype,year,jerseyfrontnumberplacementcode,teamtechid,jerseynamecolorr,shortsnumbercolorprimb,jerseybacknameplacementcode,shortsnumbercolorsecr,jerseynameoutlinecolorr,shortstyle,teamcolortertpercent,shortsnumbercolorterg,shortsnumberplacementcode,teamcolortertg
0,231,220,0,1344,220,0,12,220,220,0,69,0,26,0,220,-1,0,0,220,0,0,231,0,43,12,13,135,234,13,220,262,231,220,220,2,0,12,0,220,1,145,12,220,220,0,262,0,231,12,0,0,30,0,0,30,231,0,1,0,0,1,220,45,1,220,12,0,97,220,1,231
0,42,12,0,1345,220,0,12,220,220,0,97,0,58,0,220,-1,0,1,220,0,0,55,0,85,12,13,135,220,13,220,262,67,12,220,2,0,12,0,220,1,55,12,220,220,0,262,0,85,12,0,0,97,0,0,220,58,0,0,0,0,1,220,220,1,220,12,0,99,12,1,49
0,234,220,0,1346,12,0,220,25,25,0,93,0,233,0,12,0,0,2,25,0,0,133,0,125,220,13,135,12,13,12,265,153,220,25,2,0,220,0,12,1,239,220,12,25,0,265,0,48,220,0,1,6,0,0,12,35,0,0,0,0,1,12,12,1,25,220,0,92,220,1,237
0,230,220,0,1347,12,0,220,25,25,0,96,0,235,9,12,-1,0,3,25,0,0,235,0,234,220,13,135,12,13,12,265,230,220,25,2,0,220,0,12,1,235,220,12,25,0,265,0,234,220,0,0,96,0,0,12,235,0,0,0,0,1,12,12,1,25,220,0,96,220,1,230
0,231,220,0,1348,220,0,12,220,25,0,80,0,33,0,220,0,0,0,25,0,0,152,0,47,12,13,135,12,13,220,265,231,220,220,2,0,12,0,220,1,58,12,220,220,0,262,0,218,12,1,0,15,0,0,12,177,0,0,0,0,2,220,12,1,25,12,0,97,220,1,231
0,30,12,0,1349,220,0,12,220,220,0,88,0,31,0,220,-1,0,1,220,0,0,83,0,31,12,13,135,220,13,220,262,30,12,220,2,0,12,0,220,1,31,12,220,220,0,262,0,87,12,1,0,5,0,0,220,85,0,0,0,0,2,220,220,1,220,12,0,98,12,1,30
0,233,220,0,1765,12,0,220,25,25,0,93,0,232,0,12,0,0,2,25,0,0,130,0,113,220,13,135,12,13,12,265,152,220,25,2,0,220,0,12,1,241,220,12,25,0,265,0,47,220,1,0,5,0,0,12,34,0,1,0,0,2,12,12,1,25,220,0,97,220,1,236
0,230,220,0,5745,12,0,220,25,25,0,79,0,228,7,12,-1,0,3,25,0,0,166,0,220,220,13,135,12,13,12,265,219,220,25,2,0,220,0,12,1,230,220,12,25,0,265,0,218,220,1,0,14,0,0,12,182,0,0,0,0,2,12,12,1,25,220,0,96,220,1,230
0,254,220,0,1350,197,0,12,220,220,0,50,0,252,7,0,0,0,0,220,0,0,10,0,252,12,14,49,197,14,46,89,254,220,220,0,0,220,0,0,1,252,220,46,220,0,238,0,165,220,0,0,46,0,0,0,90,0,0,0,0,3,197,46,1,220,12,0,98,220,1,254
0,200,220,0,1351,12,0,220,220,220,0,91,0,146,0,12,0,0,1,220,0,0,185,0,70,220,14,49,12,14,12,89,69,220,220,2,0,220,0,12,1,185,220,12,220,0,238,0,70,220,0,0,91,0,0,12,146,0,0,0,0,3,12,12,1,220,220,0,94,220,1,155
0,100,220,0,1766,12,0,220,220,220,0,97,0,194,7,12,0,0,2,220,0,0,108,0,111,220,14,49,12,14,12,89,105,220,220,2,0,220,0,12,1,108,220,12,220,0,238,0,111,220,0,0,97,0,0,12,194,0,0,0,0,3,12,12,1,220,220,0,98,220,1,192
0,10,194,0,1352,197,0,0,220,12,0,86,0,254,13,0,0,0,0,12,0,0,11,0,254,46,60,49,220,14,46,89,64,15,220,0,0,220,0,0,0,254,220,46,220,0,23,0,65,220,0,0,8,0,0,220,33,0,0,0,0,4,197,220,1,12,197,3,92,8,1,32
0,10,12,0,1353,220,0,220,12,12,0,87,0,40,7,220,0,0,1,12,0,0,135,0,74,220,60,49,220,14,220,89,64,12,12,0,0,12,0,220,0,17,12,220,12,0,23,0,139,12,0,0,6,0,0,220,139,0,0,0,0,4,220,220,1,12,220,0,99,12,1,32
0,130,220,0,1767,12,0,12,220,220,0,91,0,192,0,12,0,0,2,220,0,0,29,0,112,12,60,49,12,14,12,89,110,220,220,0,0,220,0,12,0,132,220,12,220,0,23,0,29,220,0,0,7,0,0,12,30,0,0,0,0,4,12,12,1,220,12,0,94,220,1,191
0,43,12,0,1354,220,0,12,220,220,0,96,0,63,7,220,0,0,0,220,0,0,45,0,122,12,13,135,220,13,220,262,118,12,220,2,0,12,0,220,1,45,12,220,220,0,262,0,122,12,0,0,96,0,5,220,63,0,0,0,0,5,220,220,1,220,12,0,97,12,1,60
0,226,220,0,1355,12,0,220,25,25,0,93,0,222,0,12,0,0,1,25,0,0,226,0,208,220,13,135,12,13,12,265,208,220,25,2,0,220,0,12,1,226,220,12,25,0,265,0,208,220,0,0,93,0,5,12,222,0,1,0,0,5,12,12,1,25,220,0,97,220,1,222
0,231,220,0,1356,12,0,220,25,25,0,82,0,118,0,12,0,0,2,25,0,0,233,0,51,220,13,135,12,13,12,265,50,220,25,2,0,220,0,12,1,231,220,12,25,0,265,0,124,220,0,0,16,0,6,12,188,0,1,0,0,5,12,12,1,25,220,0,97,220,1,117
0,29,12,0,1357,220,0,12,220,220,0,90,0,29,7,220,0,0,3,220,0,0,29,0,29,12,13,135,220,13,220,262,29,12,220,2,0,12,0,220,1,29,12,220,220,0,262,0,29,12,0,0,90,0,5,220,29,0,0,0,0,5,220,220,1,220,12,0,98,12,1,29
0,231,220,0,1358,220,0,12,220,99,0,98,0,55,7,220,0,0,0,41,0,0,32,0,110,12,13,135,28,13,220,265,231,220,220,2,0,12,0,220,1,32,12,220,220,0,262,0,110,12,1,0,98,0,0,30,55,0,0,0,0,7,220,77,1,33,12,0,100,220,1,231
0,36,12,0,1359,28,0,220,99,220,0,96,0,232,9,21,0,0,1,220,0,0,242,0,177,220,13,135,220,13,55,262,77,12,41,2,0,220,0,30,1,242,220,77,33,0,265,0,177,220,1,0,96,0,0,220,232,0,0,0,0,7,15,220,1,220,220,0,100,12,1,43
0,110,12,0,1768,220,0,12,220,220,0,95,0,192,0,220,0,0,2,220,0,0,108,0,134,12,13,135,220,13,220,262,135,12,220,2,0,12,0,220,1,108,12,220,220,0,262,0,134,12,1,0,95,0,0,220,192,0,0,0,0,7,220,220,1,220,12,0,100,12,1,196
0,30,12,0,2769,220,0,12,220,220,0,94,0,30,0,220,0,0,3,220,0,0,30,0,30,12,13,135,220,13,220,262,30,12,220,2,0,12,0,220,1,30,12,220,220,0,262,0,30,12,1,0,94,0,0,220,30,0,0,0,0,7,220,220,1,220,12,0,98,12,1,30
0,231,220,0,633,28,0,220,99,99,0,94,0,232,0,30,-1,0,0,41,0,0,232,0,232,220,13,135,28,13,27,265,231,220,41,0,0,220,0,30,0,232,220,77,33,0,265,0,232,220,1,1,94,0,0,30,232,0,0,0,0,8,28,77,1,33,220,0,99,220,1,231
0,54,12,0,634,220,0,12,220,220,0,83,0,81,7,220,-1,0,1,220,0,0,229,0,148,12,13,135,220,13,220,262,152,12,220,2,0,12,0,220,0,52,12,220,220,0,262,0,43,12,1,1,15,0,0,220,192,0,0,0,0,8,220,220,1,220,12,0,99,12,1,83
0,165,12,0,4385,220,0,12,220,220,0,55,0,50,0,220,0,0,2,220,0,0,89,0,127,12,13,135,220,13,220,262,128,12,220,2,0,12,0,220,0,160,12,220,220,0,262,0,101,12,1,1,36,0,0,220,51,0,0,0,0,8,220,220,1,220,12,0,97,12,1,49
0,30,12,0,5025,220,0,12,220,220,0,84,0,38,7,220,0,0,3,220,0,0,235,0,44,12,13,135,220,13,220,262,27,12,220,2,0,12,0,220,0,38,12,220,220,0,262,0,231,12,1,1,6,0,0,220,233,0,0,0,0,8,220,220,1,220,12,0,98,12,1,26
100013,125,12,0,1360,220,0,12,220,220,0,91,0,29,0,220,0,0,0,220,0,0,228,0,42,12,100013,135,220,13,220,262,44,12,220,2,0,12,0,220,0,121,12,220,220,0,262,0,229,12,0,0,8,0,0,220,229,0,0,0,0,9,220,220,1,220,12,0,98,12,1,32
100013,30,12,0,1361,12,0,220,25,220,0,83,0,185,7,12,0,0,1,220,0,0,142,0,171,220,100013,135,220,13,12,262,30,12,25,2,0,220,0,12,0,191,220,12,25,0,265,0,51,220,0,0,13,0,0,220,36,0,1,0,0,9,12,220,1,220,220,0,99,12,1,30
100013,83,12,0,1769,220,0,12,220,220,0,53,0,82,0,220,0,0,2,220,0,0,30,0,87,12,100013,135,220,13,220,262,88,12,220,2,0,12,0,220,1,82,12,220,220,0,262,0,30,12,0,0,40,0,8,220,30,0,0,0,0,9,220,220,1,220,12,0,97,12,1,83
100013,230,220,0,1770,220,0,12,220,25,0,92,0,115,7,220,0,0,3,25,0,0,245,0,101,12,100013,135,12,13,220,265,230,220,220,2,0,12,0,220,0,30,12,220,220,0,262,0,240,12,0,0,7,0,8,12,245,0,1,0,0,9,220,12,1,25,12,0,94,220,1,230
0,229,220,0,1362,220,0,12,220,99,0,87,0,162,0,220,0,0,0,41,0,0,214,0,214,12,13,135,28,13,220,265,229,220,220,2,0,12,0,220,1,107,12,220,220,0,262,0,231,12,1,0,9,0,0,30,223,0,0,0,0,10,220,77,1,33,12,0,93,220,1,229
0,30,12,0,1363,220,0,12,220,220,0,98,0,30,8,220,0,0,1,220,0,0,30,0,30,12,13,135,220,13,220,262,30,12,220,2,0,12,0,220,1,30,12,220,220,0,262,0,30,12,1,0,98,0,0,220,30,0,0,0,0,10,220,220,1,220,12,0,100,12,1,30
0,191,12,0,1771,220,0,12,220,220,0,79,0,76,0,220,0,0,2,220,0,0,57,0,137,12,13,135,220,13,220,262,136,12,220,2,0,12,0,220,1,195,12,220,220,0,262,0,177,12,1,0,10,0,0,220,190,0,0,0,0,10,220,220,1,220,12,0,89,12,1,78
0,175,220,0,4640,12,0,220,25,25,0,49,0,185,0,12,0,0,3,25,0,0,139,0,199,220,13,135,12,13,12,265,199,220,25,2,0,220,0,12,1,175,220,12,25,0,265,0,68,220,1,0,25,0,0,12,229,0,0,0,0,10,12,12,1,25,220,0,63,220,1,183
0,38,12,0,10415,220,0,12,220,220,0,93,0,66,0,220,0,0,4,220,0,0,39,0,60,12,13,135,220,13,220,262,59,12,220,2,0,12,0,220,1,39,12,220,220,0,262,0,60,12,1,0,93,0,10,220,66,0,0,0,0,10,220,220,1,220,12,0,90,12,1,65
0,231,220,0,1364,220,0,12,220,25,0,91,0,26,7,220,-1,0,0,25,0,0,26,0,38,12,13,135,12,13,220,265,231,220,220,2,0,12,0,220,1,198,12,220,220,0,262,0,26,12,0,0,7,0,0,12,26,0,0,0,0,11,220,12,1,25,12,0,97,220,1,231
0,59,12,0,1365,12,0,220,25,220,0,80,0,229,7,12,-1,0,1,220,0,0,201,0,230,220,13,135,220,13,12,262,67,12,25,2,0,220,0,12,1,229,220,12,25,0,265,0,219,220,0,0,16,0,0,220,194,0,0,0,0,11,12,220,1,220,220,0,99,12,1,45
0,85,12,0,1366,220,0,12,220,220,0,65,0,84,0,220,-1,0,2,220,0,0,44,0,88,12,13,135,220,13,220,262,89,12,220,2,0,12,0,220,1,84,12,220,220,0,262,0,46,12,0,0,27,0,0,220,44,0,0,0,0,11,220,220,1,220,12,0,92,12,1,85
0,31,12,0,1367,220,0,12,220,220,0,95,0,22,7,220,0,0,3,220,0,0,22,0,22,12,13,135,220,13,220,262,31,12,220,2,0,12,0,220,1,22,12,220,220,0,262,0,22,12,0,0,95,0,8,220,22,0,0,0,0,11,220,220,1,220,12,0,97,12,1,31
0,201,12,0,1368,220,0,220,12,12,0,89,0,31,7,220,0,0,0,12,0,0,231,0,50,220,14,49,220,14,220,89,51,12,12,0,0,12,0,220,1,198,12,220,12,0,23,0,231,12,1,0,9,0,0,220,231,0,0,0,0,12,220,220,1,12,220,0,98,12,1,32
0,30,12,0,1369,220,0,220,12,12,0,87,0,34,0,220,0,0,1,12,0,0,33,0,44,220,14,49,220,14,220,89,31,12,12,0,0,12,0,220,1,30,12,220,12,0,23,0,132,12,1,0,9,0,0,220,65,0,0,0,0,12,220,220,1,12,220,0,99,12,1,30
