jerseynumber,artificialkey,leaguegoalsprevmatch,isamongtopscorers,leaguegoals,injury,istopscorer,leaguegoalsprevthreematches,reds,yellows,teamid,isamongtopscorersinteam,form,leagueappearances,position,playerid
1,0,0,0,0,0,0,0,0,0,269,0,3,0,0,228505
2,1,0,0,0,0,0,0,0,0,269,0,3,0,3,251908
30,2,0,0,0,0,0,0,0,0,269,0,3,0,4,212121
4,3,0,0,1,0,0,0,0,0,269,0,3,0,6,245900
27,4,0,0,0,0,0,0,0,0,269,0,3,0,7,233178
99,5,0,0,0,0,0,0,0,0,269,0,3,0,9,243222
10,6,0,0,1,0,0,0,0,0,269,0,3,0,11,172522
22,7,0,0,0,0,0,0,0,0,269,0,3,0,12,77092
7,8,0,0,5,0,0,0,0,0,269,1,3,0,16,251356
29,9,0,0,0,0,0,0,0,0,269,0,3,0,18,243876
38,10,0,0,3,0,0,0,0,0,269,1,3,0,25,77394
42,11,0,0,0,0,0,0,0,0,269,0,3,0,28,77393
14,12,0,0,0,0,0,0,0,0,269,0,3,0,28,225793
31,13,0,0,0,0,0,0,0,0,269,0,3,0,28,219814
24,14,0,0,3,0,0,0,0,0,269,1,3,0,28,264515
13,15,0,0,0,0,0,0,0,0,269,0,3,0,28,271112
8,16,0,0,1,0,0,0,0,0,269,0,3,0,28,272596
19,17,0,0,3,0,0,0,0,0,269,1,3,0,28,79557
11,18,0,0,4,0,0,0,0,0,269,1,3,0,28,257157
17,19,0,0,0,0,0,0,0,0,269,0,3,0,28,239015
16,20,0,0,0,0,0,0,0,0,269,0,3,0,28,215693
32,21,0,0,0,0,0,0,0,0,269,0,3,0,28,250851
5,22,0,0,0,0,0,0,0,0,269,0,3,0,28,225948
23,23,0,0,0,0,0,0,0,0,269,0,3,0,29,256427
36,24,0,0,0,0,0,0,0,0,269,0,3,0,29,82146
37,25,0,0,0,0,0,0,0,0,269,0,3,0,29,85256
51,26,0,0,0,0,0,0,0,0,269,0,3,0,29,85307
43,27,0,0,0,0,0,0,0,0,269,0,3,0,29,82147
50,28,0,0,0,0,0,0,0,0,269,0,3,0,29,75480
39,29,0,0,0,0,0,0,0,0,269,0,3,0,29,82145
1,30,0,0,0,0,0,0,0,0,270,0,3,0,0,200209
19,31,1,0,3,0,0,1,0,0,270,1,3,0,3,213835
3,32,0,0,0,0,0,0,0,0,270,0,3,0,4,257036
