teamname,goalnetstanchioncolor2r,hastifo,stadiumgoalnetstyle,utcoffset,teamcolor1b,crowdregion,gender,captainid,popularity,iscompetitioncrowdcardsenabled,numtransfersin,teamcolor3b,matchdaymidfieldrating,youthdevelopment,personalityid,pitchlinecolor,crowdskintonecode,teamcolor2r,stadiumgoalnetpattern,freekicktakerid,genericint2,opponentstrongthreshold,powid,hasstandingcrowd,longitude,genericint1,teamcolor3g,goalnetstanchioncolor1g,teamcolor2b,favoriteteamsheetid,clubworth,haslargeflag,midfieldrating,trait1vequal,presassetone,teamstadiumcapacity,goalnetstanchioncolor1b,teamcolor3r,rightfreekicktakerid,attackrating,overallrating,presassettwo,opponentweakthreshold,teamcolor1g,throwerright,hasvikingclap,iscompetitionscarfenabled,goalnetstanchioncolor1r,leftfreekicktakerid,longkicktakerid,trainingstadium,skinnyflags,stanchionflamethrower,cksupport6,prev_el_champ,uefa_consecutive_wins,ethnicity,trait1vstrong,defenserating,leaguetitles,cksupport2,stadiummowpattern_code,iscompetitionpoleflagenabled,internationalprestige,rivalteam,rightcornerkicktakerid,cksupport9,goalnetstanchioncolor2b,cksupport8,uefa_cl_wins,penaltytakerid,profitability,uefa_uecl_wins,genericbanner,matchdayattackrating,hassubstitutionboard,pitchwear,trait1vweak,teamcolor1r,pitchcolor,teamid,buildupplay,cksupport5,defensivedepth,cksupport3,goalnetstanchioncolor2g,cityid,cksupport4,domesticprestige,flamethrowercannon,ballid,form,teamcolor2g,cksupport7,latitude,matchdayoverallrating,hassuncanthem,cksupport1,cornerflagpolecolor,isbannerenabled,playsurfacetype,throwerleft,leftcornerkicktakerid,foundationyear,assetid,uefa_el_wins,matchdaydefenserating,jerseytype,domesticcups
Arsenal,1,0,0,0,53,3,0,246669,9,2,0,60,85,7,1,0,2,255,0,234378,-1,3,-1,0,0,85,206,1,255,-1,2500000,0,85,131586,0,60704,1,228,234378,86,84,0,3,26,241651,0,0,1,234378,234378,366,0,0,241651,0,0,4,4202498,84,13,207421,1,0,9,18,246669,246669,1,207421,0,241651,9,0,0,86,0,0,131586,218,3,1,1,257711,65,241651,1,285,248148,10,0,35,0,255,235794,51,84,0,235794,0,1,0,241651,234378,1886,1,0,84,2,14
Aston Villa,1,0,0,0,51,3,0,210881,7,2,0,78,81,5,1,0,2,148,0,200458,-1,2,-1,0,-1,81,47,1,229,-1,800000,0,81,4194944,0,42657,1,124,216393,82,81,0,2,0,221697,0,2,1,226162,216393,366,0,0,221697,0,0,3,270464,80,7,226162,1,0,7,109,216393,210881,1,226162,1,221697,9,0,0,82,0,0,131712,102,4,2,1,216393,50,221697,1,54,210881,7,1,35,0,190,260247,52,81,0,260247,0,2,0,221697,227174,1874,2,0,80,2,7
Blackburn Rovers,1,0,0,0,182,3,0,225748,4,2,0,202,69,7,1,0,2,255,0,225748,-1,1,-1,0,-2,69,76,76,255,-1,39000,0,69,4202512,0,31367,182,1,225748,69,69,0,1,76,245766,0,2,1,225748,225748,316,0,0,245766,0,0,2,266256,67,3,270140,1,2,1,1796,225748,270140,182,73427,0,225748,4,0,0,69,0,0,4202512,1,4,3,2,237211,50,245766,76,55,255855,5,0,55,0,255,225748,53,69,0,73427,0,2,0,245766,225748,1875,3,0,67,2,6
Bolton,14,0,0,0,255,3,0,239540,4,0,0,255,67,8,0,0,2,8,0,212366,-1,1,-1,0,-2,67,255,28,63,-1,8000,0,67,66688,0,28723,80,255,212366,66,67,0,1,255,236528,0,2,14,212366,212366,316,0,0,236528,0,0,2,139392,66,0,277986,1,2,1,1917,212366,271743,80,277986,0,236528,7,0,0,66,0,0,66688,255,4,4,1,275348,90,236528,28,61,271743,8,0,55,0,21,260951,53,67,0,260951,0,2,0,236528,212366,1874,4,0,66,2,4
Chelsea,48,0,0,0,137,3,0,238074,9,3,0,160,84,4,0,0,2,255,0,238074,-1,2,-1,1,0,81,75,85,255,-1,2340000,0,84,131721,0,40343,200,28,238074,82,81,0,2,20,252042,0,2,48,238074,238074,366,0,0,252042,0,0,2,4202633,79,6,257534,1,1,8,1,238616,257534,200,238616,2,257534,10,1,0,82,0,0,131721,0,3,5,1,239231,65,252042,85,285,256079,8,1,35,0,255,247090,51,81,0,247090,0,1,0,252042,238074,1905,5,2,79,2,8
Everton,0,0,0,0,156,3,0,202695,7,2,0,201,78,5,0,0,2,255,0,243657,-1,2,-1,0,-2,78,99,54,255,-1,700000,0,78,4198472,0,52769,156,45,237386,76,78,0,2,54,276295,0,0,0,243657,237386,366,0,0,276295,0,0,1,266312,77,9,243282,1,0,4,9,237386,243282,156,261188,0,261188,4,0,0,76,0,0,139336,0,4,7,3,244380,50,276295,54,282,193474,4,0,35,0,255,237386,53,78,0,261188,0,2,0,276295,243657,1878,7,0,77,2,5
Leeds United,235,0,0,0,255,3,0,237161,7,2,0,1,77,4,0,0,2,46,0,257191,-1,2,-1,0,-1,76,225,67,134,-1,390000,0,77,266369,0,37890,134,235,257191,76,76,0,2,255,231554,0,2,46,257191,257191,316,0,0,239360,0,0,3,528513,76,3,242530,1,2,1,11,257191,229266,0,235735,0,221479,7,0,0,76,0,0,270465,255,5,8,3,236822,30,221479,205,269,237161,2,0,35,0,67,231554,53,76,0,244238,0,1,0,236822,257191,1919,8,0,76,1,1
Liverpool,1,0,0,0,35,3,0,225100,9,3,0,0,84,4,0,0,2,255,0,236772,-1,3,-1,0,-2,84,215,1,255,-1,4650480,0,84,131712,0,53394,1,255,239837,87,84,0,3,27,253149,0,1,1,239837,239837,366,0,0,237678,0,0,3,4202624,83,20,233731,1,1,10,11,256630,225100,1,246104,6,209331,6,0,0,87,0,0,131712,227,3,9,1,253149,65,242516,1,282,239837,10,0,35,0,255,260908,53,84,0,237678,0,1,0,260908,209331,1892,9,3,83,1,8
Manchester City,133,1,0,0,233,3,0,231866,9,3,0,94,84,3,1,0,2,255,0,251570,-1,3,-1,1,-2,84,40,177,255,-1,4564360,0,84,131712,0,53400,222,0,237692,87,84,0,3,173,253124,0,1,133,237692,239085,366,0,0,208920,0,0,2,4202624,82,10,227796,1,1,10,11,225645,277031,222,231866,1,239085,8,0,0,87,0,0,131712,108,4,10,1,207410,65,239085,177,300,231866,10,0,35,0,255,253124,53,84,0,208920,0,2,0,242641,237692,1880,10,0,82,2,7
Man Utd,1,0,0,0,1,3,0,212198,10,0,0,30,82,9,0,0,2,255,0,212198,-1,2,-1,1,-2,81,30,1,255,-1,5683920,0,82,131732,0,74310,1,30,212198,82,80,0,2,1,243014,0,0,1,212198,212198,366,0,0,243014,0,0,2,4202644,79,20,269136,1,0,7,9,243014,254088,1,240243,3,212198,6,0,0,82,0,0,131732,199,5,11,1,238041,65,240243,1,300,200145,7,0,35,0,255,212198,53,80,0,254088,0,0,0,243014,212198,1878,11,1,79,2,13
